15	5/2	2	3	32417900
15	5/2	3	2	32384100
15	5/2	3	3	32399600
15	7/2	3	3	36720100
15	7/2	3	4	36731500
15	7/2	4	3	36713300
15	7/2	4	4	36722200
15	9/2	4	4	39314400
15	9/2	4	5	39321500
15	9/2	5	4	39310000
15	9/2	5	5	39315800
15	11/2	5	5	41043900
15	11/2	5	6	41048700
15	11/2	6	5	41040800
15	11/2	6	6	41044900
15	13/2	6	6	42279300
15	13/2	6	7	42282700
15	13/2	7	6	42277000
15	13/2	7	7	42280000
15	15/2	7	7	43205800
15	15/2	7	8	43208400
15	15/2	8	7	43204000
15	15/2	8	8	43206300
15	17/2	8	8	43926400
15	17/2	8	9	43928500
15	17/2	9	8	43925000
15	17/2	9	9	43926800
15	19/2	9	9	44502900
15	19/2	9	10	44504500
15	19/2	10	9	44501700
15	19/2	10	10	44503200
15	21/2	10	10	44974500
15	21/2	10	11	44975900
15	21/2	11	10	44973600
15	21/2	11	11	44974800
15	23/2	11	11	45367600
15	23/2	11	12	45368700
15	23/2	12	11	45366800
15	23/2	12	12	45367800
15	25/2	12	12	45700200
15	25/2	12	13	45701100
15	25/2	13	12	45699500
15	25/2	13	13	45700400
15	27/2	13	13	45985200
15	27/2	13	14	45986100
15	27/2	14	13	45984700
15	27/2	14	14	45985400
15	29/2	14	14	46232300
15	29/2	14	15	46233000
16	1/2	0	0	0
16	1/2	0	1	346800
16	1/2	1	0	-1910800
16	1/2	1	1	-1795300
16	3/2	1	1	19570700
16	3/2	1	2	19616900
16	3/2	2	1	19545600
16	3/2	2	2	19573300
16	5/2	2	2	26693700
16	5/2	2	3	26711500
16	5/2	3	2	26683600
16	5/2	3	3	26696400
16	7/2	3	3	30256300
16	7/2	3	4	30265800
16	7/2	4	3	30250700
16	7/2	4	4	30258100
16	9/2	4	4	32394000
16	9/2	4	5	32399800
16	9/2	5	4	32390400
16	9/2	5	5	32395100
16	11/2	5	5	33819100
16	11/2	5	6	33823000
16	11/2	6	5	33816500
16	11/2	6	6	33819900
16	13/2	6	6	34837000
16	13/2	6	7	34839800
16	13/2	7	6	34835100
16	13/2	7	7	34837600
16	15/2	7	7	35600400
16	15/2	7	8	35602600
16	15/2	8	7	35598900
16	15/2	8	8	35600900
16	17/2	8	8	36194200
16	17/2	8	9	36195900
16	17/2	9	8	36193000
16	17/2	9	9	36194500
16	19/2	9	9	36669200
16	19/2	9	10	36670500
16	19/2	10	9	36668200
16	19/2	10	10	36669500
16	21/2	10	10	37057800
16	21/2	10	11	37058900
16	21/2	11	10	37057000
16	21/2	11	11	37058100
16	23/2	11	11	37381700
16	23/2	11	12	37382600
16	23/2	12	11	37381000
16	23/2	12	12	37381900
16	25/2	12	12	37655700
16	25/2	12	13	37656500
16	25/2	13	12	37655100
16	25/2	13	13	37655900
16	27/2	13	13	37890600
16	27/2	13	14	37891300
16	27/2	14	13	37890100
16	27/2	14	14	37890800
16	29/2	14	14	38094200
16	29/2	14	15	38094800
16	29/2	15	14	38093700
16	29/2	15	15	38094300
16	31/2	15	15	38272300
16	31/2	15	16	38272800
17	1/2	0	0	0
17	1/2	0	1	289100
17	1/2	1	0	-1593100
17	1/2	1	1	-1496800
17	3/2	1	1	16316200
17	3/2	1	2	16354700
17	3/2	2	1	16295200
17	3/2	2	2	16318400
17	5/2	2	2	22254600
17	5/2	2	3	22269500
17	5/2	3	2	22246300
